sample_id,profile_hint,image_id,image_title,response_text,valid,risk_score,risk_level,critical_flags_count,warning_flags_count,red_flag_types,word_count,sentiment_compound,sentiment_positive,sentiment_negative,liwc_positive_emotion,liwc_negative_emotion,liwc_anxiety,liwc_hopelessness,liwc_death,liwc_isolation,liwc_social,pronoun_i_percentage,pronoun_we_percentage,temporal_future_count,temporal_has_future_orientation,temporal_has_negative_future
s2v2_0001,LOW,image_1,Bonds of the Web,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,14.66070349213434,0.04206596459841071,11.986711473403876,14.376393564909343,0.0,0.0001757050165974521,5.624273347917806,0.29879973224399525,0.15772948686793165,0.03655740954376187,8.785598909269874,20.245765178566923,0.0,0.08972990734298399,False,False
s2v2_0002,MODERATE,image_2,Shattered Ascent,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,10.130524546383434,0.6055114857590871,32.0229410166918,3.7025420596146867,6.696389723296822,0.0,4.300900637735324,0.0,0.37708658592943606,0.0,0.12546252979265707,9.429136436279954,0.0,2.098576507405298,True,False
s2v2_0003,HIGH,image_3,Ancestral Embrace,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,19.930859513561035,-1.0,8.600550041509916,23.799115768579306,0.1438511609725397,5.866119712838013,0.0,8.862959442030984,0.0,0.0,0.22817016092381243,18.789866449536067,0.136121259099048,0.30879231565672444,False,False
s2v2_0004,LOW,image_3,Ancestral Embrace,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,15.848037097681267,0.7949588896119775,9.186725219062083,16.41446689588313,0.16122898184709256,0.12566508441078478,5.854253735477288,0.3180419615271914,0.03547174913703943,0.0,7.436620517170379,12.523472047061912,0.0,0.0,False,False
s2v2_0005,MODERATE,image_2,Shattered Ascent,"I see conflict in this picture, and I feel lonely sometimes though I am trying to cope and improve.",True,52,MODERATE,0,0,,30.840422436934617,-0.3052870098769974,13.773510244731082,11.180100718868417,0.06797589017468432,0.22486193802608995,0.0,0.0,0.008946026363205474,4.64900677163941,0.0,22.937380223818398,0.0,0.19237372417108312,False,False
s2v2_0006,HIGH,image_1,Bonds of the Web,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,23.476201228947264,-0.3083364080816778,0.03146773705415871,26.94032663251189,0.13412489952379647,0.0,0.10997098788710256,10.472395571426066,0.06386783746257009,10.606260376657234,0.0,6.047750408173049,0.061262928815901466,0.8647523898273513,True,False
s2v2_0007,LOW,image_3,Ancestral Embrace,"I feel connected and calm when I look at this image, and I think things can improve with support.",True,33,LOW,0,0,,29.121764917992078,0.803960810296389,25.81152789236351,0.11038148992893482,0.0,0.06137890160308021,0.022750083197702192,0.10679205755853381,0.09815384811641749,0.0,0.0,17.54044907156722,0.0,0.026533449343027028,False,False
s2v2_0008,MODERATE,image_2,Shattered Ascent,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,12.311577663453008,-0.22316368969508837,47.83242885955154,10.38128056692413,5.032103603828848,0.0,5.5769776381680405,0.15313902972097038,0.0,0.24584260573241729,0.33010233006052003,10.459747772951854,0.004198366876436997,3.4818690231377163,True,False
s2v2_0009,HIGH,image_1,Bonds of the Web,"The picture feels empty and distressing, and I feel there is no point and no way out right now.",True,43,MODERATE,0,0,,7.100676277695349,-0.6374102814872223,0.0,51.469275457915316,0.0,0.12668097497929798,0.09984854706067917,0.0,0.06207020303667398,6.488571038696804,0.03522276136973099,5.736999764904223,0.0,0.0,False,False
s2v2_0010,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,20.32541982184454,0.751434089118787,30.624187567768164,0.22392875943407461,6.667681290995084,0.08341031449201658,0.0,0.09146292444381049,0.0015097636764516839,0.02762828630134488,0.46356906006434084,14.581062855668712,0.23006418036372955,2.2476670972740846,True,False
s2v2_0011,MODERATE,image_2,Shattered Ascent,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,19.03470660017886,1.0,42.37847249952712,6.721251132304597,5.683596211012502,0.06998795890532537,4.533101021947197,0.0,0.05280819306216259,0.014480432344291236,0.07802552343927116,12.865184110842668,0.12058240984199263,2.0530121765903533,True,False
s2v2_0012,HIGH,image_1,Bonds of the Web,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,24.555483500362904,-0.5739938514930321,5.472181210372402,60.002748337031356,0.02217129646321175,6.432256305007702,0.17625977625636025,0.7594866757834771,0.22880315195845569,0.0058887371846035805,0.05338305720411027,12.253700478088088,0.3341748045428785,0.17809757204526888,False,False
s2v2_0013,LOW,image_1,Bonds of the Web,"I feel connected and calm when I look at this image, and I think things can improve with support.",True,33,LOW,0,0,,16.125042414245154,1.0,44.75297635074184,0.0,0.275083244087558,0.12483827132011938,0.05949315009917297,0.20793385275667667,0.0010510934831034905,0.09005688614419946,0.0,12.931902241779389,0.20843310980800783,0.14466443043148253,False,False
s2v2_0014,MODERATE,image_2,Shattered Ascent,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,16.234236359138247,0.867158788800646,41.66190302852068,6.979212434237288,6.4625938857657825,0.11901134548950312,5.18956211519665,0.057353461614279316,0.1494479431981092,0.0,0.0,11.073642428601564,0.02509114867582335,2.138341478527695,True,False
s2v2_0015,HIGH,image_1,Bonds of the Web,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,24.291286278959895,-0.482386741996922,0.45714164180156636,32.47223975242355,0.0,0.1299914513506722,0.09732746088800476,10.776419631528277,0.0,8.121417834161953,0.0,8.125567613875209,0.0064220865760828486,0.815213164740021,True,False
s2v2_0016,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,19.941245011214342,0.2747473859813825,19.592485501339908,0.20860401216761149,6.751369210518087,0.062325435423162726,0.0,0.05438226397418712,0.2844786844912494,0.14147093384587278,0.0494916721622219,10.057092775518992,0.11666056003955763,1.826319664736054,True,False
s2v2_0017,MODERATE,image_1,Bonds of the Web,"I see conflict in this picture, and I feel lonely sometimes though I am trying to cope and improve.",True,52,MODERATE,0,0,,14.77992961801078,-0.8686754723474166,14.399374352010948,9.028492042713342,0.0,0.09877073209902323,0.0,0.0,0.41546681844595845,2.8462293195687547,0.2114994953131646,13.093187541374045,0.19172165211755365,0.04365978489068844,False,False
s2v2_0018,HIGH,image_3,Ancestral Embrace,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,20.085356599933192,-1.0,0.06032000335393968,36.54997531715349,0.023689339124457143,0.018122194065653085,0.10277215231855429,7.267295956390239,0.0,6.318733444422657,0.0,5.565140335669526,0.18733949530424246,0.8092061840753824,True,False
s2v2_0019,LOW,image_1,Bonds of the Web,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,24.860721127611793,0.3698046585320302,9.894388804301592,0.0,6.003559376882153,0.0,0.0,0.0,0.0,0.05168636709233391,0.0,11.233521832596955,0.1157965456401987,2.2952713484673066,True,False
s2v2_0020,MODERATE,image_1,Bonds of the Web,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,22.832808923023382,0.8729606194512711,42.66272687424195,2.413777038398621,4.955643855243176,0.1249380601191697,6.849511670961249,0.0,0.020692384518559793,0.041546018685680586,0.25788647201350323,10.675397293464254,0.3245236097545942,2.084353483296007,True,False
s2v2_0021,HIGH,image_2,Shattered Ascent,"The picture feels empty and distressing, and I feel there is no point and no way out right now.",True,43,MODERATE,0,0,,20.57526728684349,-1.0,0.015866738959056954,24.448686045854366,0.0,0.29096821037188286,0.15126400090168046,0.06759989941235729,0.10128752448351064,5.586198941631219,0.163656865967105,6.530913842092823,0.10207307303913189,0.011388611005443833,False,False
s2v2_0022,LOW,image_3,Ancestral Embrace,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,26.361214619845576,0.5577307246381927,9.827265987234208,0.05810213854042728,7.044184304823472,0.0,0.4730298804082985,0.027734135177654513,0.11512897809934637,0.0,0.01399828655815124,11.489843276317178,0.0,1.6197653134800312,True,False
s2v2_0023,MODERATE,image_1,Bonds of the Web,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,20.536726674665516,-0.9985848036176548,0.059114762296326534,36.923236990970096,0.0,5.363722640250337,12.884943601253546,0.0,0.0,0.0,0.46809060237975697,5.989610495060536,0.08098246953936843,0.0,False,False
s2v2_0024,HIGH,image_1,Bonds of the Web,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,21.004508076914,-0.6977307744329733,2.3735844204194745,51.291410267609585,0.0,3.5784359785533804,0.0,12.215412668713423,0.07164392279568953,0.0,0.1600899527307159,10.155033142887651,0.12262625264655505,0.0,False,False
s2v2_0025,LOW,image_1,Bonds of the Web,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,22.651283578358022,1.0,22.04946544489672,0.0,5.026478318850099,0.34808134070129104,0.0,0.047146268361731025,0.05504757117417595,0.10798374333182126,0.0,10.188934734439135,0.2328948925965214,2.1607049849568796,True,False
s2v2_0026,MODERATE,image_3,Ancestral Embrace,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,34.727603754481265,1.0,46.98128709717754,7.562692137406297,5.131607058739476,0.43364170308819816,6.977721311817047,0.0,0.0,0.0,0.12168800101163652,9.972300622875334,0.456394081793098,2.422626936068049,True,False
s2v2_0027,HIGH,image_1,Bonds of the Web,"The picture feels empty and distressing, and I feel there is no point and no way out right now.",True,43,MODERATE,0,0,,23.06544695460001,-0.9339650038793945,0.029796661461982257,38.57165064074359,0.0,0.0,0.0,0.04784406113567655,0.0,5.575241360514381,0.0,5.91435704933131,0.0,0.03994533382167935,False,False
s2v2_0028,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,16.35183995560704,0.4380234445058948,14.56133299349675,0.0,3.7443114423829136,0.0,0.13412601594440382,0.0,0.2580287571794461,0.15748818125871708,0.2564682860020313,11.304815317505023,0.23245750488041772,1.682768279453316,True,False
